Airline,Source,Destination,Duration,Total_Stops,Price,status,Many_Stops,Dep_hour,Arrival_hour,Dep_period,Journey_day,Journey_month,Journey_weekday,Is_weekend,Is_long_flight
Jet Airways,Delhi,Cochin,16.58,2,14300,economy,0,20,12,Night,12,6,2,0,0
Jet Airways,Kolkata,Banglore,12.33,1,14781,economy,0,8,20,Morning,15,5,2,0,0
Jet Airways,Kolkata,Banglore,12.25,1,14939,economy,0,20,8,Night,9,6,6,1,0
Jet Airways,Delhi,Cochin,7.5,1,10262,economy,0,20,4,Night,24,6,0,0,0
Air India,Kolkata,Banglore,24.0,1,6528,economy,0,14,14,Afternoon,12,5,6,1,0
Air India,Banglore,Delhi,2.75,0,6121,economy,0,6,8,Morning,1,5,2,0,0
Jet Airways,Delhi,Cochin,8.92,2,13029,economy,0,19,4,Night,18,5,5,1,0
Multiple carriers,Delhi,Cochin,7.17,1,11421,economy,0,11,18,Morning,27,3,2,0,0
Multiple carriers,Delhi,Cochin,14.5,1,7574,economy,0,4,19,Early_Morning,27,3,2,0,0
Air India,Delhi,Cochin,30.33,2,11596,economy,0,12,19,Afternoon,9,5,3,0,1
Jet Airways,Delhi,Cochin,19.92,2,15129,economy,0,23,19,Night,24,5,4,0,0
Jet Airways,Banglore,Delhi,15.0,1,13555,economy,0,14,5,Afternoon,18,3,0,0,0
IndiGo,Banglore,Delhi,2.92,0,5780,economy,0,18,21,Night,12,4,4,0,0
Vistara,Kolkata,Banglore,12.75,1,9397,economy,0,20,9,Night,12,5,6,1,0
Jet Airways,Delhi,Cochin,10.17,1,17024,economy,0,18,4,Night,6,3,2,0,0
GoAir,Delhi,Cochin,5.92,1,5281,economy,0,7,12,Morning,27,6,3,0,0
Multiple carriers,Delhi,Cochin,15.42,1,10348,economy,0,7,22,Morning,18,5,5,1,0
Air India,Delhi,Cochin,16.08,1,12677,economy,0,17,9,Afternoon,6,3,2,0,0
Multiple carriers,Delhi,Cochin,10.17,1,15147,economy,0,15,1,Afternoon,3,3,6,1,0
Vistara,Banglore,Delhi,2.67,0,4668,economy,0,7,9,Morning,12,6,2,0,0
Jet Airways,Delhi,Cochin,11.92,1,15554,economy,0,7,19,Morning,9,5,3,0,0
SpiceJet,Banglore,Delhi,2.67,0,3971,economy,0,5,8,Early_Morning,9,4,1,0,0
Air India,Mumbai,Hyderabad,1.42,0,3100,economy,0,15,16,Afternoon,3,5,4,0,0
Jet Airways,Kolkata,Banglore,14.08,1,9663,economy,0,20,10,Night,6,5,0,0,0
Air India,Delhi,Cochin,20.25,1,27430,economy,0,23,19,Night,1,3,4,0,0
IndiGo,Chennai,Kolkata,2.42,0,3540,economy,0,5,7,Early_Morning,12,5,6,1,0
Air India,Kolkata,Banglore,23.17,2,10676,economy,0,12,11,Afternoon,21,5,1,0,0
Jet Airways,Kolkata,Banglore,18.17,1,13044,economy,0,14,8,Afternoon,12,6,2,0,0
Jet Airways,Kolkata,Banglore,16.0,1,14388,economy,0,20,12,Night,6,5,0,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,4,6,Early_Morning,24,6,0,0,0
IndiGo,Chennai,Kolkata,2.33,0,3597,economy,0,14,17,Afternoon,3,6,0,0,0
Air India,Banglore,Delhi,8.0,1,5932,economy,0,11,19,Morning,21,3,3,0,0
Jet Airways,Delhi,Cochin,16.92,1,10262,economy,0,11,4,Morning,15,6,5,1,0
Vistara,Delhi,Cochin,3.17,0,6216,economy,0,14,17,Afternoon,12,5,6,1,0
IndiGo,Kolkata,Banglore,2.75,0,4804,economy,0,20,23,Night,15,6,5,1,0
Multiple carriers,Delhi,Cochin,14.0,1,14067,economy,0,11,1,Morning,21,5,1,0,0
Jet Airways,Delhi,Cochin,23.83,2,15129,economy,0,19,19,Night,18,5,5,1,0
Jet Airways,Delhi,Cochin,21.67,2,13376,economy,0,6,4,Morning,6,6,3,0,0
Air India,Delhi,Cochin,21.25,2,10441,economy,0,22,19,Night,27,6,3,0,0
Jet Airways,Banglore,Delhi,2.75,0,4030,economy,0,6,8,Morning,24,5,4,0,0
Jet Airways,Delhi,Cochin,10.83,1,17024,economy,0,8,18,Morning,3,3,6,1,0
Multiple carriers,Delhi,Cochin,8.0,1,13017,economy,0,17,1,Afternoon,9,4,1,0,0
GoAir,Kolkata,Banglore,8.25,1,6686,economy,0,23,7,Night,6,6,3,0,0
IndiGo,Delhi,Cochin,5.42,1,5636,economy,0,2,7,Early_Morning,15,6,5,1,0
IndiGo,Delhi,Cochin,8.58,1,6442,economy,0,7,16,Morning,9,6,6,1,0
Multiple carriers,Delhi,Cochin,11.83,1,9486,economy,0,13,0,Afternoon,21,5,1,0,0
Jet Airways,Kolkata,Banglore,27.58,1,10844,economy,0,20,23,Night,21,5,1,0,1
Jet Airways,Delhi,Cochin,8.42,2,15318,economy,0,20,4,Night,3,6,0,0,0
Air India,Delhi,Cochin,20.92,1,5117,economy,0,12,9,Afternoon,3,4,2,0,0
IndiGo,Delhi,Cochin,4.83,1,6147,economy,0,15,20,Afternoon,24,6,0,0,0
Multiple carriers,Delhi,Cochin,8.17,1,7005,economy,0,12,21,Afternoon,9,6,6,1,0
SpiceJet,Kolkata,Banglore,2.33,0,3873,economy,0,22,0,Night,3,4,2,0,0
Jet Airways,Delhi,Cochin,24.42,2,9270,economy,0,18,18,Night,21,3,3,0,1
GoAir,Banglore,Delhi,2.83,0,3898,economy,0,11,14,Morning,27,6,3,0,0
Jet Airways,Kolkata,Banglore,12.33,1,14781,economy,0,8,20,Morning,12,5,6,1,0
Jet Airways,Kolkata,Banglore,12.25,1,8586,economy,0,20,8,Night,24,5,4,0,0
Air India,Kolkata,Banglore,23.58,2,10697,economy,0,8,7,Morning,9,5,3,0,0
Jet Airways,Delhi,Cochin,16.58,2,14300,economy,0,20,12,Night,27,6,3,0,0
IndiGo,Banglore,Delhi,2.83,0,8855,economy,0,18,21,Night,3,3,6,1,0
Jet Airways,Kolkata,Banglore,25.75,1,10844,economy,0,16,18,Afternoon,12,5,6,1,1
Jet Airways,Delhi,Cochin,26.17,1,17024,economy,0,2,4,Early_Morning,6,3,2,0,1
Jet Airways,Kolkata,Banglore,28.83,1,9314,economy,0,9,14,Morning,1,5,2,0,1
IndiGo,Banglore,Delhi,2.75,0,4777,economy,0,0,3,Early_Morning,24,3,6,1,0
Air India,Kolkata,Banglore,25.25,1,7662,economy,0,12,13,Afternoon,9,6,6,1,1
IndiGo,Delhi,Cochin,9.33,1,6442,economy,0,6,16,Morning,9,5,3,0,0
SpiceJet,Delhi,Cochin,4.5,1,5264,economy,0,8,13,Morning,12,6,2,0,0
Jet Airways,Delhi,Cochin,15.42,1,12898,economy,0,13,4,Afternoon,27,5,0,0,0
Air India,Mumbai,Hyderabad,1.5,0,6092,economy,0,13,15,Afternoon,3,3,6,1,0
SpiceJet,Banglore,Delhi,2.67,0,3311,economy,0,5,8,Early_Morning,21,5,1,0,0
Jet Airways,Delhi,Cochin,9.17,1,6540,economy,0,19,4,Night,27,3,2,0,0
IndiGo,Banglore,Delhi,2.75,0,3419,economy,0,1,4,Early_Morning,27,5,0,0,0
Jet Airways,Delhi,Cochin,22.58,1,5177,economy,0,14,12,Afternoon,3,4,2,0,0
Air India,Delhi,Cochin,3.08,0,8246,economy,0,18,21,Night,18,4,3,0,0
Jet Airways,Kolkata,Banglore,11.5,1,14676,economy,0,9,21,Morning,9,6,6,1,0
Multiple carriers,Delhi,Cochin,9.5,1,13587,economy,0,11,21,Morning,27,6,3,0,0
Jet Airways,Kolkata,Banglore,12.17,1,9663,economy,0,21,9,Night,6,5,0,0,0
Jet Airways,Kolkata,Banglore,17.58,1,13044,economy,0,16,10,Afternoon,12,6,2,0,0
IndiGo,Delhi,Cochin,5.08,1,5073,economy,0,20,1,Night,3,4,2,0,0
Vistara,Kolkata,Banglore,25.83,1,9345,economy,0,17,18,Afternoon,21,5,1,0,1
Jet Airways,Kolkata,Banglore,20.0,1,9663,economy,0,14,10,Afternoon,6,5,0,0,0
Multiple carriers,Delhi,Cochin,13.0,1,14277,economy,0,8,21,Morning,21,5,1,0,0
Jet Airways,Delhi,Cochin,18.42,1,10262,economy,0,10,4,Morning,1,6,5,1,0
Jet Airways,Mumbai,Hyderabad,1.5,0,5678,economy,0,19,21,Night,27,3,2,0,0
Multiple carriers,Delhi,Cochin,9.5,1,13727,economy,0,16,1,Afternoon,15,5,2,0,0
Jet Airways,Kolkata,Banglore,16.0,1,9663,economy,0,20,12,Night,6,5,0,0,0
IndiGo,Chennai,Kolkata,2.33,0,3858,economy,0,14,17,Afternoon,12,5,6,1,0
SpiceJet,Delhi,Cochin,4.5,1,4812,economy,0,8,13,Morning,24,6,0,0,0
IndiGo,Delhi,Cochin,5.75,1,5775,economy,0,21,3,Night,27,6,3,0,0
Jet Airways,Kolkata,Banglore,24.17,1,10539,economy,0,9,9,Morning,6,6,3,0,1
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,15,18,Afternoon,3,6,0,0,0
Air Asia,Banglore,Delhi,2.75,0,3383,economy,0,11,13,Morning,12,6,2,0,0
IndiGo,Banglore,Delhi,4.92,1,8738,economy,0,12,17,Afternoon,3,3,6,1,0
Air India,Delhi,Cochin,25.58,1,7165,economy,0,5,6,Early_Morning,27,3,2,0,1
IndiGo,Delhi,Cochin,6.33,1,6412,economy,0,16,22,Afternoon,24,6,0,0,0
Jet Airways,Banglore,Delhi,3.08,0,8016,economy,0,18,22,Night,27,6,3,0,0
Jet Airways,Banglore,Delhi,18.67,1,11087,economy,0,20,15,Night,12,3,1,0,0
SpiceJet,Chennai,Kolkata,2.25,0,3543,economy,0,9,12,Morning,27,6,3,0,0
Jet Airways,Kolkata,Banglore,12.17,1,12471,economy,0,16,4,Afternoon,12,6,2,0,0
Jet Airways,Delhi,Cochin,19.42,1,10262,economy,0,9,4,Morning,24,6,0,0,0
Air India,Banglore,Delhi,2.83,0,4441,economy,0,13,16,Afternoon,18,3,0,0,0
Multiple carriers,Delhi,Cochin,8.42,1,12537,economy,0,7,15,Morning,27,3,2,0,0
GoAir,Kolkata,Banglore,9.25,1,10091,economy,0,22,7,Night,24,3,6,1,0
Air India,Banglore,Delhi,2.83,0,6961,economy,0,21,23,Night,3,6,0,0,0
IndiGo,Delhi,Cochin,3.25,0,5013,economy,0,5,8,Early_Morning,24,4,2,0,0
Air India,Delhi,Cochin,2.83,0,6934,economy,0,5,8,Early_Morning,18,5,5,1,0
Multiple carriers,Delhi,Cochin,12.33,1,10877,economy,0,6,19,Morning,3,6,0,0,0
Jet Airways,Banglore,Delhi,2.92,0,7229,economy,0,15,18,Afternoon,18,4,3,0,0
IndiGo,Delhi,Cochin,9.58,1,7048,economy,0,16,1,Afternoon,27,3,2,0,0
Vistara,Banglore,Delhi,2.58,0,4878,economy,0,17,19,Afternoon,27,6,3,0,0
Jet Airways,Kolkata,Banglore,9.5,1,10844,economy,0,14,23,Afternoon,21,5,1,0,0
Jet Airways,Delhi,Cochin,29.33,2,15129,economy,0,23,4,Night,18,5,5,1,1
IndiGo,Banglore,Delhi,2.92,0,3943,economy,0,0,3,Early_Morning,12,5,6,1,0
SpiceJet,Delhi,Cochin,5.25,1,5583,economy,0,6,11,Morning,6,6,3,0,0
Multiple carriers,Delhi,Cochin,9.08,1,9646,economy,0,7,16,Morning,6,6,3,0,0
Multiple carriers,Delhi,Cochin,10.75,1,7677,economy,0,8,19,Morning,3,6,0,0,0
IndiGo,Delhi,Cochin,4.92,1,6842,economy,0,5,10,Early_Morning,1,6,5,1,0
Jet Airways,Mumbai,Hyderabad,1.5,0,4995,economy,0,8,10,Morning,24,6,0,0,0
Vistara,Kolkata,Banglore,11.67,1,9555,economy,0,7,18,Morning,9,6,6,1,0
IndiGo,Banglore,Delhi,2.75,0,4077,economy,0,1,4,Early_Morning,1,6,5,1,0
Jet Airways,Banglore,Delhi,2.92,0,7229,economy,0,15,18,Afternoon,12,5,6,1,0
Multiple carriers,Delhi,Cochin,10.0,1,12192,economy,0,9,19,Morning,9,6,6,1,0
Air India,Banglore,Delhi,2.75,0,5911,economy,0,10,12,Morning,12,4,4,0,0
Air India,Delhi,Cochin,10.25,1,8372,economy,0,9,19,Morning,12,6,2,0,0
Jet Airways,Mumbai,Hyderabad,1.42,0,4995,economy,0,7,8,Morning,18,3,0,0,0
Multiple carriers,Delhi,Cochin,9.25,1,14323,economy,0,10,19,Morning,9,5,3,0,0
Jet Airways,Delhi,Cochin,22.92,2,13014,economy,0,5,4,Early_Morning,9,6,6,1,0
Air India,Delhi,Cochin,28.83,2,13591,economy,0,14,19,Afternoon,6,6,3,0,1
Jet Airways,Delhi,Cochin,37.42,2,18799,economy,0,5,18,Early_Morning,3,3,6,1,1
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,23,2,Night,27,4,5,1,0
SpiceJet,Mumbai,Hyderabad,1.5,0,1965,economy,0,5,7,Early_Morning,21,5,1,0,0
Jet Airways,Mumbai,Hyderabad,1.5,0,4995,economy,0,10,11,Morning,27,5,0,0,0
Air India,Kolkata,Banglore,25.67,1,14641,economy,0,16,18,Afternoon,24,3,6,1,1
Air India,Kolkata,Banglore,2.58,0,4460,economy,0,20,23,Night,12,4,4,0,0
Air India,Delhi,Cochin,6.25,1,10191,economy,0,13,19,Afternoon,18,5,5,1,0
Jet Airways,Delhi,Cochin,17.5,1,13843,economy,0,2,19,Early_Morning,9,3,5,1,0
IndiGo,Delhi,Cochin,5.75,1,6349,economy,0,21,3,Night,1,5,2,0,0
Air Asia,Kolkata,Banglore,2.58,0,4409,economy,0,10,12,Morning,1,5,2,0,0
Jet Airways,Delhi,Cochin,25.5,1,17024,economy,0,18,19,Night,6,3,2,0,1
Multiple carriers,Delhi,Cochin,13.92,1,13727,economy,0,7,21,Morning,18,5,5,1,0
IndiGo,Banglore,Delhi,2.92,0,8855,economy,0,18,21,Night,15,3,4,0,0
Multiple carriers,Delhi,Cochin,10.25,1,12524,economy,0,8,19,Morning,24,6,0,0,0
Jet Airways,Banglore,Delhi,8.67,1,13555,economy,0,11,20,Morning,18,3,0,0,0
Jet Airways,Kolkata,Banglore,5.5,1,10844,economy,0,6,12,Morning,6,6,3,0,0
Multiple carriers,Delhi,Cochin,12.0,1,13587,economy,0,9,21,Morning,9,6,6,1,0
SpiceJet,Chennai,Kolkata,2.25,0,3543,economy,0,9,12,Morning,12,6,2,0,0
Vistara,Chennai,Kolkata,2.25,0,4842,economy,0,7,9,Morning,18,3,0,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,23,2,Night,24,4,2,0,0
Jet Airways,Delhi,Cochin,9.17,1,10577,economy,0,19,4,Night,9,6,6,1,0
IndiGo,Delhi,Cochin,10.42,1,6979,economy,0,10,21,Morning,15,5,2,0,0
Vistara,Chennai,Kolkata,2.33,0,11982,economy,0,17,20,Afternoon,27,6,3,0,0
SpiceJet,Delhi,Cochin,4.5,1,5264,economy,0,8,13,Morning,6,6,3,0,0
Vistara,Delhi,Cochin,3.17,0,8001,economy,0,6,9,Morning,3,3,6,1,0
Air India,Delhi,Cochin,23.5,2,10651,economy,0,19,19,Night,1,6,5,1,0
Jet Airways,Kolkata,Banglore,27.33,1,10844,economy,0,16,19,Afternoon,24,5,4,0,1
Multiple carriers,Delhi,Cochin,12.58,1,6601,economy,0,9,22,Morning,27,3,2,0,0
Air India,Delhi,Cochin,24.25,1,6587,economy,0,19,19,Night,21,3,3,0,1
SpiceJet,Mumbai,Hyderabad,1.33,0,3173,economy,0,13,14,Afternoon,21,3,3,0,0
Air India,Banglore,Delhi,2.75,0,5228,economy,0,10,12,Morning,9,5,3,0,0
Jet Airways,Banglore,Delhi,3.0,0,5769,economy,0,7,10,Morning,21,6,4,0,0
Jet Airways,Delhi,Cochin,11.0,1,14714,economy,0,8,19,Morning,6,6,3,0,0
Jet Airways,Delhi,Cochin,13.5,2,13014,economy,0,5,19,Early_Morning,3,6,0,0,0
IndiGo,Banglore,Delhi,2.83,0,3359,economy,0,22,1,Night,3,6,0,0,0
GoAir,Banglore,Delhi,2.92,0,6722,economy,0,20,23,Night,3,3,6,1,0
IndiGo,Kolkata,Banglore,2.75,0,4462,economy,0,9,12,Morning,18,3,0,0,0
IndiGo,Delhi,Cochin,11.25,1,6171,economy,0,4,16,Early_Morning,9,3,5,1,0
Air India,Kolkata,Banglore,14.58,2,12303,economy,0,5,20,Early_Morning,21,5,1,0,0
Multiple carriers,Delhi,Cochin,13.92,1,7695,economy,0,11,1,Morning,21,3,3,0,0
IndiGo,Delhi,Cochin,14.08,1,5684,economy,0,11,1,Morning,24,6,0,0,0
Air India,Kolkata,Banglore,15.08,1,8366,economy,0,16,7,Afternoon,12,6,2,0,0
Air India,Chennai,Kolkata,2.25,0,19630,economy,0,11,13,Morning,1,3,4,0,0
Jet Airways,Banglore,Delhi,15.0,1,13502,economy,0,14,5,Afternoon,6,3,2,0,0
Jet Airways,Kolkata,Banglore,12.92,1,14781,economy,0,21,10,Night,1,5,2,0,0
Multiple carriers,Delhi,Cochin,9.0,1,6513,economy,0,7,16,Morning,12,6,2,0,0
Air India,Delhi,Cochin,12.25,1,9929,economy,0,7,19,Morning,1,6,5,1,0
Multiple carriers,Delhi,Cochin,7.67,2,18275,economy,0,17,1,Afternoon,6,6,3,0,0
Air India,Delhi,Cochin,27.33,1,4487,economy,0,6,9,Morning,9,4,1,0,1
IndiGo,Mumbai,Hyderabad,1.42,0,2754,economy,0,21,22,Night,15,3,4,0,0
Air India,Mumbai,Hyderabad,1.33,0,2575,economy,0,6,7,Morning,27,3,2,0,0
SpiceJet,Kolkata,Banglore,5.5,1,8224,economy,0,15,21,Afternoon,12,6,2,0,0
Air India,Delhi,Cochin,11.75,1,8991,economy,0,20,8,Night,9,3,5,1,0
IndiGo,Delhi,Cochin,3.25,0,5000,economy,0,5,8,Early_Morning,24,6,0,0,0
Jet Airways,Kolkata,Banglore,24.92,1,8529,economy,0,18,19,Night,12,6,2,0,1
